11.0026, latitude, 35.7666, longitude, -20.83
59.4115, latitude, 24.0669, longitude, -20.8299
62.3594, latitude, 24.0665, longitude, -20.8299
58.7826, latitude, 12.4095, longitude, -20.8301
64.6693, latitude, 12.2324, longitude, -20.8298
51.4284, latitude, 0.693604, longitude, -20.8299
33.7799, latitude, 0.514382, longitude, -20.8297
8.44661, latitude, -11.014, longitude, -20.8301
8.07812, latitude, -11.1848, longitude, -20.83
8.34505, latitude, -16.9111, longitude, -20.8301
14.1849, latitude, -22.9482, longitude, -20.8298
20.7214, latitude, -28.7373, longitude, -20.8296
14.8568, latitude, -34.5414, longitude, -20.8299
2.8099, latitude, -40.5114, longitude, -20.83
3.5599, latitude, -46.3919, longitude, -20.8295
9.89193, latitude, -58.0493, longitude, -20.8295
11.0807, latitude, -63.9284, longitude, -20.8296
0.877604, latitude, -69.7054, longitude, -20.8297
0.46224, latitude, -70.8305, longitude, -22.455
5.17057, latitude, -64.8876, longitude, -22.4551
5.75521, latitude, -59.0737, longitude, -22.455
3.14583, latitude, -47.4738, longitude, -22.4551
1.81641, latitude, -41.5658, longitude, -22.4549
20.1172, latitude, -35.6218, longitude, -22.4549
26.1094, latitude, -29.7865, longitude, -22.4548
20.8529, latitude, -24.003, longitude, -22.4547
14.3333, latitude, -18.05, longitude, -22.4549
8.54036, latitude, -12.2968, longitude, -22.4549
37.8828, latitude, -6.42733, longitude, -22.4547
38.8828, latitude, -6.42733, longitude, -22.4547
49.1914, latitude, -0.466212, longitude, -22.4548
65.7474, latitude, -0.466447, longitude, -22.4547
59.2839, latitude, 11.3262, longitude, -22.4549
62.6745, latitude, 11.3265, longitude, -22.4549
62.4466, latitude, 22.9405, longitude, -22.4548
16.8776, latitude, 28.7206, longitude, -22.4548
17.25, latitude, 34.7879, longitude, -22.4549
12.4349, latitude, 34.7877, longitude, -22.4549
0.894531, latitude, 58.2927, longitude, -22.4546
0.903646, latitude, 69.8212, longitude, -22.4548
0.566406, latitude, 75.8676, longitude, -22.455
2.05078, latitude, 83.5675, longitude, -24.0019
0.582031, latitude, 65.8742, longitude, -24.0017
9.82161, latitude, 60.1293, longitude, -24.0017
0.324219, latitude, 54.0676, longitude, -24.0018
2.69531, latitude, 42.3439, longitude, -24.0015
9.32943, latitude, 36.4994, longitude, -24.0017
22.8021, latitude, 30.725, longitude, -24.0017
66.1549, latitude, 24.8963, longitude, -24.0015
63.9193, latitude, 18.8966, longitude, -24.0015
58.3073, latitude, 13.1834, longitude, -24.001
65.7005, latitude, 7.18154, longitude, -24.0014
53.4115, latitude, 7.18121, longitude, -24.0016
47.4271, latitude, -4.52306, longitude, -24.0015
9.49349, latitude, -4.52312, longitude, -24.0015
29.5794, latitude, -16.2081, longitude, -24.0013
44, latitude, -16.2084, longitude, -24.0017
38.694, latitude, -27.9342, longitude, -24.0013
33.5143, latitude, -33.7924, longitude, -24.0015
0.675781, latitude, -39.6789, longitude, -24.0016
2.33984, latitude, -45.5516, longitude, -24.0015
0.393229, latitude, -48.5614, longitude, -25.9653
2.73958, latitude, -42.8193, longitude, -25.9655
17.6745, latitude, -36.8709, longitude, -25.9657
47.3281, latitude, -30.9719, longitude, -25.9654
57.5286, latitude, -30.972, longitude, -25.9654
43.5924, latitude, -19.3601, longitude, -25.9654
13.3542, latitude, -19.1716, longitude, -25.9656
40.6406, latitude, -7.49585, longitude, -25.9651
52.3398, latitude, -7.49544, longitude, -25.9652
62.0117, latitude, 4.14007, longitude, -25.9654
62.0052, latitude, 4.14001, longitude, -25.9651
55.5859, latitude, 10.1696, longitude, -25.9654
56.625, latitude, 10.1696, longitude, -25.9656
67.4635, latitude, 21.7722, longitude, -25.9653
43.9258, latitude, 21.9623, longitude, -25.9655
6.68099, latitude, 33.4894, longitude, -25.9653
6.125, latitude, 33.6649, longitude, -25.9653
1.66146, latitude, 39.4531, longitude, -25.9653
10.2526, latitude, 57.1264, longitude, -25.9654
9.8763, latitude, 62.8385, longitude, -25.9654
3.57812, latitude, 80.5649, longitude, -25.9656
3.99349, latitude, 80.5649, longitude, -25.9656
2.44792, latitude, 86.3759, longitude, -25.9653
19.0807, latitude, 86.5323, longitude, -25.9654
8.16276, latitude, 66.7478, longitude, -27.225
29.3893, latitude, 60.8869, longitude, -27.2251
1.84245, latitude, 54.948, longitude, -27.2251
0.56901, latitude, 37.4252, longitude, -27.2253
27.25, latitude, 31.4983, longitude, -27.2254
57.6875, latitude, 25.7788, longitude, -27.2251
60.401, latitude, 19.8582, longitude, -27.2249
48.9076, latitude, 14.0116, longitude, -27.2251
60.6224, latitude, 8.07325, longitude, -27.2252
